index,Company,TypeName,Inches,Resolution_Width,Resolution_Heigth,Touch_Screen,Cpu_Brand,Cpu_Name,Cpu_Speed,Ram,Memory_Type,Primary_Storage,Secondary_Storage,Gpu_Brand,OpSys,Weigth(kg),Price
1144,HP,"2 in 1 Convertible",13.3,2560,1440,Yes,Intel,"Core i7",2.6GHz,8,SDD,256,0,Intel,windows,1.48,95850.7
1145,HP,Workstation,15.6,1920,1080,No,Intel,"Core i7",2.6GHz,8,SDD,256,0,Nvidia,windows,2.0,101178.7
1146,HP,Ultrabook,12.5,1920,1080,No,Intel,"Core i7",2.50GHz,8,SDD,256,0,Intel,windows,1.26,122381.5
1147,Dell,Notebook,15.6,1920,1080,No,Intel,"Core i7",2.7GHz,8,SDD,256,0,Nvidia,windows,2.18,53807.5
1148,HP,Notebook,15.6,1920,1080,No,Intel,"Core i5",2.3GHz,8,SDD,256,0,Intel,windows,1.88,84129.1
1149,Lenovo,"2 in 1 Convertible",14.0,2560,1440,Yes,Intel,"Core i7",2.5GHz,8,SDD,256,0,Intel,windows,1.27,124621.9
1150,Lenovo,Notebook,15.6,1366,768,No,Intel,"Core i3",2.0GHz,4,HDD,1024,0,Intel,N/A,1.9,18061.9
1151,HP,Notebook,15.6,1366,768,No,AMD,"E-Series 7110",1.8GHz,4,HDD,500,0,AMD,windows,1.86,15824.2
1152,Lenovo,Notebook,15.6,1920,1080,No,Intel,"Core i5",2.3GHz,8,HDD,1024,0,AMD,N/A,2.32,31914.7
1153,Dell,Gaming,15.6,1920,1080,No,Intel,"Core i7",2.8GHz,8,HDD,1024,0,Nvidia,windows,2.62,63882.7
1154,Dell,Notebook,15.6,3840,2160,Yes,Intel,"Core i5",2.3GHz,8,SDD,256,0,Nvidia,windows,2.04,119916.2
1155,HP,Notebook,15.6,1920,1080,No,AMD,"A6-Series A6-9220",2.5GHz,4,SDD,256,0,AMD,windows,1.91,25515.3
